uri|display_name
"http://vivo.ufl.edu/individual/n488575122"|"Rutz,Anna Katharina"
"http://vivo.ufl.edu/individual/n470105917"|"Liner,James Owen"
"http://vivo.ufl.edu/individual/n1632627498"|"Kwon,Jiwoon"
"http://vivo.ufl.edu/individual/n1498386003"|"Rommel,Sentiel A"
"http://vivo.ufl.edu/individual/n1592842125"|"Ballard,Lee W"
"http://vivo.ufl.edu/individual/n1356146658"|"Ingwersen,Wesley W"
"http://vivo.ufl.edu/individual/n1225480699"|"Shropshire,Marjorie M"
"http://vivo.ufl.edu/individual/n1228033229"|"Williams,Cyrus R,III"
"http://vivo.ufl.edu/individual/n2084167809"|"Gleason,Kelly E"
"http://vivo.ufl.edu/individual/n1259439287"|"Rowe,Terry L"
"http://vivo.ufl.edu/individual/n19296225"|"Wang,Ping"
"http://vivo.ufl.edu/individual/n400131969"|"Winters,Carrie A"
"http://vivo.ufl.edu/individual/n465488800"|"Fisher,Andrew N"
"http://vivo.ufl.edu/individual/n964149847"|"Cadena,Edwin A"
"http://vivo.ufl.edu/individual/n1651456431"|"Alhomsi,Muwafaq Muham"
"http://vivo.ufl.edu/individual/n1771387496"|"DeCroix,Michele"
"http://vivo.ufl.edu/individual/n274178072"|"Birkbeck,Christopher"
"http://vivo.ufl.edu/individual/n1395550150"|"Nunez,Elvis"
"http://vivo.ufl.edu/individual/n48753222"|"Moake,Joe L"
"http://vivo.ufl.edu/individual/n1474932132"|"Weinert,Alexander Ger"
"http://vivo.ufl.edu/individual/n2134881148"|"Li,Shi"
"http://vivo.ufl.edu/individual/n1484299633"|"Estes,James R"
"http://vivo.ufl.edu/individual/n714318798"|"Hilf,Mark E"
"http://vivo.ufl.edu/individual/n1547323449"|"Kell,Anna Kathryn"
"http://vivo.ufl.edu/individual/n1319744445"|"Nguyen,Bichvan"
"http://vivo.ufl.edu/individual/n1581659856"|"Mukras,Saad Mohamed"
"http://vivo.ufl.edu/individual/n503451059"|"Tan,Chin Hon"
"http://vivo.ufl.edu/individual/n1542072139"|"Bulloch,Rayford H"
"http://vivo.ufl.edu/individual/n2098829840"|"Roemmich,Ryan T"
"http://vivo.ufl.edu/individual/n1588790630"|"Brumby,Amanda J"
"http://vivo.ufl.edu/individual/n1524946426"|"Mccoy,Carol Piatnek"
"http://vivo.ufl.edu/individual/n534973840"|"Greeley,Gale Elizabet"
"http://vivo.ufl.edu/individual/n461448112"|"Tyson,Mark R"
"http://vivo.ufl.edu/individual/n796092668"|"Weiss,Michael David"
"http://vivo.ufl.edu/individual/n1842552003"|"Petosa,Maria Anne"
"http://vivo.ufl.edu/individual/n1203108362"|"Johnston,Gerald R"
"http://vivo.ufl.edu/individual/n1712692328"|"Lira,Vitor Agnew"
"http://vivo.ufl.edu/individual/n1155654850"|"Gunion,David L"
"http://vivo.ufl.edu/individual/n50526814"|"Blanco Coto,Mario Alb"
"http://vivo.ufl.edu/individual/n965273828"|"Suarez,Belkis"
"http://vivo.ufl.edu/individual/n23834301"|"Liu,Binmei"
"http://vivo.ufl.edu/individual/n575137264"|"Garland,Kathryn A"
"http://vivo.ufl.edu/individual/n882090999"|"Garcia,Juan C"
"http://vivo.ufl.edu/individual/n1670770602"|"Liang,Dong"
"http://vivo.ufl.edu/individual/n21549881"|"Eggert,Kelley Rae"
"http://vivo.ufl.edu/individual/n2036318814"|"Fay,Scott A"
"http://vivo.ufl.edu/individual/n790385076"|"Ragusa,Jordan M"
"http://vivo.ufl.edu/individual/n1562620357"|"Pauley,Kaleb Marie"
"http://vivo.ufl.edu/individual/n1562620357"|"Pauley, Kaleb M."
"http://vivo.ufl.edu/individual/n972014430"|"Yendol-Hoppey,Diane"
"http://vivo.ufl.edu/individual/n269964651"|"Rockwell,Sarah Beth"
"http://vivo.ufl.edu/individual/n845360832"|"Lamont,Margaret M"
"http://vivo.ufl.edu/individual/n1027185171"|"Kupfer,Stephanie Elys"
"http://vivo.ufl.edu/individual/n2028467343"|"Lafferty,Janna Laurin"
"http://vivo.ufl.edu/individual/n511807641"|"Seal,Sudipta"
"http://vivo.ufl.edu/individual/n891697296"|"Chaffee,Carol L"
"http://vivo.ufl.edu/individual/n40694696"|"Teague,Megan Ann"
"http://vivo.ufl.edu/individual/n1658765569"|"Sundaram,Swathy"
"http://vivo.ufl.edu/individual/n1282442062"|"Fontaine,Joseph J"
"http://vivo.ufl.edu/individual/n328592863"|"Asner,Gregory"
"http://vivo.ufl.edu/individual/n1240696585"|"Elliott,Clint"
"http://vivo.ufl.edu/individual/n126413753"|"Kelsay,Mary R"
"http://vivo.ufl.edu/individual/n56385151"|"Huang,Chun"
"http://vivo.ufl.edu/individual/n344381339"|"Tillman,Susan Michell"
"http://vivo.ufl.edu/individual/n272288250"|"Herdegen,Britta"
"http://vivo.ufl.edu/individual/n787330299"|"Lutz,Dwight B"
"http://vivo.ufl.edu/individual/n154342522"|"Koller,Faloon Ariel"
"http://vivo.ufl.edu/individual/n2051004530"|"D'amico,Melanie Lynn"
"http://vivo.ufl.edu/individual/n1217626300"|"De Senso,Justin M"
"http://vivo.ufl.edu/individual/n833233736"|"Scott,Sarah"
"http://vivo.ufl.edu/individual/n620857156"|"Wert,D Christopher"
"http://vivo.ufl.edu/individual/n2083698061"|"Bills,Meghan L"
"http://vivo.ufl.edu/individual/n235235185"|"Hopkins,Allison L"
"http://vivo.ufl.edu/individual/n1936820108"|"Girardi,Michalina M"
"http://vivo.ufl.edu/individual/n1969507396"|"Sylvester,Amanda Lee"
"http://vivo.ufl.edu/individual/n1861699713"|"Ford,Anastasia A"
"http://vivo.ufl.edu/individual/n456525260"|"Moon,Rose L"
"http://vivo.ufl.edu/individual/n587034077"|"Epps,Jonathan D"
"http://vivo.ufl.edu/individual/n1914261879"|"Tolaymat,Lana Dia"
"http://vivo.ufl.edu/individual/n287601694"|"Ragas,Matthew Wade"
"http://vivo.ufl.edu/individual/n83140201"|"Roberts,Brian C"
"http://vivo.ufl.edu/individual/n1389959298"|"Garnica,Jaime B"
